,yVal,xVal
0,0,968
1,0,969
2,0,971
3,0,972
4,0,974
5,0,975
6,0,1214
7,0,1215
8,0,1216
9,1,968
10,1,969
11,1,973
12,1,976
13,1,1213
14,1,1215
15,2,970
16,2,971
17,2,973
18,2,974
19,2,1213
20,2,1214
21,2,1215
22,2,1216
23,3,968
24,3,969
25,3,971
26,3,1213
27,3,1214
28,3,1217
29,4,969
30,4,970
31,4,971
32,4,972
33,4,973
34,4,1213
35,4,1214
36,4,1215
37,4,1216
38,5,971
39,5,976
40,5,1213
41,5,1215
42,5,1217
43,6,969
44,6,971
45,6,974
46,6,1213
47,6,1214
48,6,1216
49,7,968
50,7,970
51,7,973
52,7,975
53,7,1212
54,7,1215
55,7,1216
56,7,1217
57,8,970
58,8,972
59,8,973
60,8,975
61,8,1213
62,8,1216
63,9,972
64,9,974
65,9,976
66,9,1214
67,9,1215
68,9,1216
69,9,1217
70,10,970
71,10,977
72,10,1213
73,10,1214
74,10,1216
75,11,969
76,11,972
77,11,973
78,11,1214
79,11,1217
80,12,969
81,12,970
82,12,971
83,12,972
84,12,974
85,12,975
86,12,976
87,12,1215
88,12,1216
89,13,968
90,13,971
91,13,972
92,13,974
93,13,976
94,13,977
95,13,1214
96,13,1216
97,14,970
98,14,972
99,14,973
100,14,975
101,14,1215
102,14,1216
103,14,1217
104,15,968
105,15,970
106,15,971
107,15,973
108,15,975
109,15,976
110,15,1214
111,15,1216
112,16,971
113,16,972
114,16,973
115,16,974
116,16,975
117,16,976
118,16,978
119,16,1215
120,16,1216
121,16,1217
122,17,970
123,17,972
124,17,974
125,17,975
126,17,976
127,17,978
128,17,1214
129,17,1217
130,18,970
131,18,971
132,18,973
133,18,977
134,18,1214
135,18,1215
136,18,1216
137,18,1218
138,19,968
139,19,969
140,19,972
141,19,974
142,19,975
143,19,977
144,19,1214
145,19,1215
146,19,1216
147,19,1217
148,19,1218
149,20,969
150,20,970
151,20,971
152,20,975
153,20,976
154,20,1215
155,20,1217
156,21,968
157,21,969
158,21,970
159,21,972
160,21,973
161,21,974
162,21,976
163,21,1213
164,21,1216
165,21,1218
166,22,970
167,22,971
168,22,972
169,22,974
170,22,976
171,22,1215
172,22,1216
173,22,1217
174,23,968
175,23,970
176,23,972
177,23,977
178,23,1214
179,23,1215
180,23,1216
181,23,1218
182,24,969
183,24,970
184,24,972
185,24,973
186,24,976
187,24,1214
188,24,1215
189,24,1216
190,24,1218
191,25,970
192,25,971
193,25,972
194,25,973
195,25,975
196,25,1215
197,25,1217
198,25,1219
199,26,970
200,26,973
201,26,974
202,26,976
203,26,1214
204,26,1216
205,26,1217
206,27,970
207,27,971
208,27,972
209,27,973
210,27,975
211,27,1215
212,27,1216
213,27,1218
214,28,970
215,28,972
216,28,975
217,28,1214
218,28,1217
219,28,1218
220,28,1219
221,29,970
222,29,971
223,29,972
224,29,974
225,29,975
226,29,976
227,29,977
228,29,1215
229,29,1216
230,29,1217
231,30,969
232,30,970
233,30,972
234,30,973
235,30,974
236,30,978
237,30,1217
238,30,1218
239,30,1219
240,31,970
241,31,971
242,31,972
243,31,973
244,31,974
245,31,975
246,31,976
247,31,977
248,31,1215
249,31,1216
250,31,1217
251,31,1218
252,32,969
253,32,970
254,32,973
255,32,974
256,32,977
257,32,978
258,32,1215
259,32,1216
260,32,1217
261,32,1218
262,32,1219
263,33,969
264,33,972
265,33,974
266,33,976
267,33,977
268,33,1215
269,33,1216
270,33,1217
271,33,1218
272,33,1219
273,34,970
274,34,971
275,34,973
276,34,975
277,34,976
278,34,978
279,34,1214
280,34,1215
281,34,1216
282,34,1217
283,34,1218
284,34,1219
285,35,970
286,35,973
287,35,974
288,35,977
289,35,978
290,35,1214
291,35,1215
292,35,1216
293,35,1217
294,35,1218
295,35,1219
296,36,969
297,36,970
298,36,971
299,36,972
300,36,974
301,36,975
302,36,976
303,36,977
304,36,1216
305,36,1217
306,36,1218
307,36,1219
308,37,968
309,37,972
310,37,975
311,37,976
312,37,978
313,37,1215
314,37,1216
315,37,1217
316,37,1218
317,37,1219
318,38,968
319,38,969
320,38,970
321,38,971
322,38,972
323,38,973
324,38,977
325,38,1214
326,38,1216
327,38,1217
328,38,1218
329,38,1219
330,39,968
331,39,972
332,39,974
333,39,975
334,39,976
335,39,978
336,39,979
337,39,1215
338,39,1216
339,39,1217
340,39,1218
341,39,1219
342,40,968
343,40,969
344,40,971
345,40,972
346,40,973
347,40,974
348,40,976
349,40,978
350,40,979
351,40,1216
352,40,1217
353,40,1218
354,40,1219
355,41,970
356,41,971
357,41,973
358,41,974
359,41,977
360,41,978
361,41,1216
362,41,1217
363,41,1219
364,42,969
365,42,972
366,42,973
367,42,975
368,42,976
369,42,978
370,42,1215
371,42,1216
372,42,1217
373,42,1218
374,42,1219
375,42,1220
376,43,970
377,43,972
378,43,973
379,43,977
380,43,1215
381,43,1216
382,43,1217
383,43,1218
384,43,1219
385,44,970
386,44,971
387,44,972
388,44,974
389,44,975
390,44,976
391,44,978
392,44,1215
393,44,1216
394,44,1217
395,44,1218
396,44,1219
397,45,971
398,45,973
399,45,975
400,45,1215
401,45,1216
402,45,1217
403,45,1218
404,45,1219
405,45,1220
406,46,972
407,46,975
408,46,977
409,46,1216
410,46,1217
411,46,1219
412,47,970
413,47,971
414,47,972
415,47,973
416,47,974
417,47,975
418,47,976
419,47,978
420,47,1216
421,47,1217
422,47,1218
423,47,1219
424,48,970
425,48,972
426,48,974
427,48,978
428,48,1215
429,48,1217
430,48,1219
431,49,974
432,49,975
433,49,977
434,49,1215
435,49,1216
436,49,1217
437,49,1218
438,49,1219
439,50,974
440,50,976
441,50,977
442,50,1215
443,50,1217
444,51,975
445,51,977
446,51,1216
447,51,1217
448,51,1218
449,51,1219
450,52,972
451,52,973
452,52,974
453,52,975
454,52,976
455,52,977
456,52,1215
457,53,971
458,53,973
459,53,976
460,53,979
461,53,1216
462,53,1217
463,53,1218
464,53,1219
465,53,1220
466,54,970
467,54,971
468,54,972
469,54,974
470,54,975
471,54,976
472,54,978
473,54,980
474,54,1217
475,54,1220
476,55,971
477,55,973
478,55,974
479,55,977
480,55,979
481,55,980
482,55,1216
483,55,1218
484,55,1220
485,56,971
486,56,973
487,56,975
488,56,978
489,56,979
490,56,980
491,56,1217
492,56,1219
493,57,971
494,57,972
495,57,974
496,57,975
497,57,976
498,57,978
499,57,1216
500,57,1218
501,58,971
502,58,973
503,58,976
504,58,977
505,58,978
506,58,979
507,58,980
508,58,981
509,58,1216
510,58,1218
511,58,1219
512,58,1220
513,59,975
514,59,977
515,59,980
516,59,1218
517,60,973
518,60,975
519,60,976
520,60,978
521,60,979
522,60,980
523,60,981
524,60,1216
525,60,1217
526,60,1218
527,60,1219
528,60,1220
529,61,971
530,61,974
531,61,977
532,61,978
533,61,1215
534,61,1216
535,61,1219
536,61,1220
537,62,971
538,62,973
539,62,975
540,62,976
541,62,980
542,62,1216
543,62,1217
544,62,1218
545,63,972
546,63,973
547,63,974
548,63,977
549,63,1215
550,63,1217
551,63,1218
552,63,1220
553,63,1221
554,64,971
555,64,972
556,64,974
557,64,975
558,64,976
559,64,977
560,64,1217
561,64,1219
562,64,1220
563,64,1221
564,65,971
565,65,972
566,65,973
567,65,975
568,65,976
569,65,977
570,65,1216
571,65,1219
572,65,1221
573,66,971
574,66,973
575,66,974
576,66,975
577,66,977
578,66,978
579,66,979
580,66,981
581,66,1216
582,66,1218
583,66,1219
584,66,1221
585,67,973
586,67,975
587,67,976
588,67,977
589,67,978
590,67,1216
591,67,1217
592,67,1218
593,68,972
594,68,973
595,68,974
596,68,975
597,68,978
598,68,980
599,68,1219
600,68,1221
601,69,972
602,69,973
603,69,975
604,69,976
605,69,977
606,69,978
607,69,979
608,69,1217
609,69,1220
610,70,973
611,70,975
612,70,977
613,70,979
614,70,980
615,70,1217
616,70,1218
617,70,1219
618,70,1221
619,71,974
620,71,975
621,71,976
622,71,978
623,71,979
624,71,981
625,71,982
626,71,1218
627,71,1219
628,71,1221
629,72,974
630,72,976
631,72,978
632,72,979
633,72,981
634,72,982
635,72,1217
636,72,1218
637,72,1219
638,72,1221
639,72,1222
640,73,972
641,73,973
642,73,975
643,73,977
644,73,979
645,73,980
646,73,1219
647,73,1220
648,74,974
649,74,975
650,74,976
651,74,978
652,74,980
653,74,981
654,74,1217
655,74,1220
656,75,972
657,75,973
658,75,975
659,75,976
660,75,977
661,75,978
662,75,979
663,75,1217
664,75,1218
665,75,1220
666,75,1221
667,76,972
668,76,973
669,76,974
670,76,975
671,76,976
672,76,978
673,76,981
674,76,1218
675,76,1220
676,77,974
677,77,977
678,77,978
679,77,979
680,77,980
681,77,981
682,77,982
683,77,1219
684,77,1221
685,78,974
686,78,975
687,78,976
688,78,977
689,78,979
690,78,1218
691,78,1219
692,78,1220
693,79,974
694,79,977
695,79,979
696,79,1219
697,79,1221
698,80,973
699,80,974
700,80,975
701,80,976
702,80,978
703,80,979
704,80,981
705,80,1217
706,80,1218
707,80,1220
708,80,1221
709,81,973
710,81,975
711,81,976
712,81,977
713,81,978
714,81,979
715,81,1217
716,81,1218
717,81,1219
718,81,1221
719,82,973
720,82,975
721,82,976
722,82,977
723,82,979
724,82,981
725,82,1217
726,82,1218
727,82,1220
728,82,1221
729,83,972
730,83,973
731,83,975
732,83,978
733,83,979
734,83,980
735,83,981
736,83,1218
737,83,1219
738,83,1220
739,84,972
740,84,973
741,84,974
742,84,976
743,84,977
744,84,978
745,84,979
746,84,1221
747,85,975
748,85,1218
749,85,1219
750,85,1221
751,86,974
752,86,976
753,86,1218
754,86,1219
755,86,1220
756,86,1221
757,87,1219
758,88,1218
759,88,1219
760,88,1220
761,88,1222
762,89,1217
763,89,1219
764,89,1220
765,89,1221
766,90,1217
767,90,1218
768,90,1221
769,91,1221
770,92,1218
771,92,1219
772,92,1221
773,92,1222
774,93,1219
775,93,1221
776,94,1218
777,94,1220
778,94,1222
779,95,1219
780,95,1221
781,95,1222
782,96,1218
783,96,1220
784,96,1221
785,96,1222
786,96,1223
787,97,978
788,97,1218
789,97,1220
790,97,1221
791,97,1222
792,97,1223
793,98,978
794,98,1218
795,98,1220
796,98,1221
797,98,1222
798,98,1223
799,99,977
800,99,979
801,99,1218
802,99,1220
803,99,1221
804,99,1222
805,99,1223
806,100,977
807,100,978
808,100,980
809,100,1218
810,100,1220
811,100,1221
812,100,1222
813,100,1223
814,101,979
815,101,1218
816,101,1220
817,101,1221
818,101,1222
819,101,1223
820,102,962
821,102,978
822,102,1218
823,102,1220
824,102,1221
825,102,1222
826,102,1223
827,103,962
828,103,978
829,103,979
830,103,1218
831,103,1220
832,103,1221
833,103,1222
834,103,1223
835,104,962
836,104,1218
837,104,1219
838,104,1222
839,105,963
840,105,964
841,105,978
842,105,1219
843,105,1220
844,105,1221
845,105,1223
846,106,961
847,106,962
848,106,964
849,106,979
850,106,1218
851,106,1219
852,106,1220
853,106,1221
854,106,1223
855,107,978
856,107,1218
857,107,1220
858,107,1221
859,107,1223
860,108,961
861,108,963
862,108,964
863,108,1218
864,108,1222
865,109,962
866,109,1219
867,109,1220
868,109,1221
869,109,1222
870,109,1223
871,110,1223
872,111,1220
873,111,1221
874,111,1222
875,112,963
876,112,1219
877,112,1221
878,112,1222
879,113,964
880,113,1218
881,113,1219
882,113,1220
883,113,1222
884,114,1219
885,114,1220
886,114,1221
887,114,1223
888,114,1224
889,115,1219
890,115,1221
891,115,1223
892,116,1220
893,116,1221
894,116,1222
895,117,1219
896,117,1222
897,118,963
898,118,964
899,118,1219
900,118,1220
901,118,1222
902,118,1223
903,119,962
904,119,964
905,119,1221
906,119,1222
907,119,1224
908,120,1220
909,120,1221
910,120,1222
911,120,1223
912,121,1220
913,121,1221
914,121,1222
915,121,1223
916,122,964
917,122,1220
918,122,1221
919,122,1222
920,122,1223
921,122,1224
922,123,964
923,123,965
924,123,1220
925,123,1221
926,123,1222
927,123,1223
928,123,1224
929,124,1220
930,124,1221
931,124,1222
932,124,1223
933,124,1224
934,125,1220
935,125,1221
936,125,1222
937,125,1223
938,126,1220
939,126,1221
940,126,1222
941,126,1223
942,126,1224
943,127,1220
944,127,1221
945,127,1222
946,127,1223
947,127,1224
948,128,1220
949,128,1221
950,128,1222
951,128,1223
952,128,1224
953,129,1220
954,129,1221
955,129,1222
956,129,1223
957,130,1220
958,130,1221
959,130,1222
960,130,1223
961,130,1224
962,131,1220
963,131,1221
964,131,1222
965,131,1223
966,131,1225
967,132,1220
968,132,1221
969,132,1222
970,132,1223
971,132,1225
972,133,965
973,133,966
974,133,1220
975,133,1221
976,133,1222
977,133,1223
978,133,1224
979,133,1225
980,134,966
981,134,1220
982,134,1221
983,134,1222
984,134,1223
985,134,1224
986,135,965
987,135,1220
988,135,1221
989,135,1222
990,135,1223
991,135,1224
992,135,1225
993,136,1221
994,136,1222
995,136,1224
996,137,1224
997,137,1225
998,138,1221
999,138,1222
1000,138,1225
1001,139,1220
1002,139,1223
1003,139,1224
1004,139,1225
1005,140,1220
1006,140,1222
1007,140,1223
1008,140,1224
1009,141,1221
1010,141,1225
1011,142,1220
1012,142,1221
1013,142,1223
1014,142,1224
1015,143,1221
1016,143,1223
1017,143,1224
1018,143,1225
1019,143,1226
1020,144,1221
1021,144,1222
1022,144,1223
1023,144,1225
1024,145,1221
1025,145,1223
1026,145,1224
1027,146,1222
1028,146,1223
1029,146,1225
1030,147,1221
1031,147,1223
1032,147,1224
1033,147,1226
1034,148,1221
1035,148,1223
1036,148,1224
1037,148,1226
1038,149,1222
1039,149,1223
1040,149,1225
1041,150,1221
1042,150,1223
1043,150,1224
1044,151,1221
1045,151,1222
1046,151,1223
1047,151,1225
1048,152,1221
1049,152,1222
1050,153,1222
1051,153,1223
1052,153,1224
1053,154,1221
1054,154,1225
1055,155,1222
1056,155,1225
1057,156,983
1058,156,1224
1059,158,984
1060,163,965
1061,163,983
1062,163,984
1063,164,965
1064,164,983
1065,164,984
1066,168,984
1067,169,966
1068,169,984
1069,170,985
1070,171,967
1071,171,985
1072,173,965
1073,173,967
1074,174,966
1075,175,965
1076,175,966
1077,175,967
1078,175,968
1079,176,967
1080,176,968
1081,176,984
1082,177,967
1083,177,968
1084,177,985
1085,178,966
1086,178,984
1087,179,965
1088,179,966
1089,180,964
1090,180,965
1091,181,966
1092,181,967
1093,182,985
1094,183,983
1095,183,984
1096,183,986
1097,184,984
1098,184,986
1099,185,985
1100,185,986
1101,195,968
1102,196,988
1103,197,968
1104,197,969
1105,198,967
1106,198,968
1107,199,967
1108,199,968
1109,200,968
1110,201,967
1111,202,966
1112,203,967
1113,203,970
1114,203,988
1115,204,968
1116,204,969
1117,205,970
1118,209,968
1119,211,987
1120,212,988
1121,214,968
1122,214,969
1123,215,968
1124,216,968
1125,216,969
1126,219,987
1127,220,969
1128,221,969
1129,222,970
1130,222,989
1131,223,969
1132,223,990
1133,224,969
1134,225,969
1135,226,968
1136,226,970
1137,227,968
1138,227,970
1139,227,989
1140,228,989
1141,229,969
1142,230,969
1143,230,970
1144,231,969
1145,232,968
1146,232,970
1147,233,969
1148,233,970
1149,234,968
1150,234,989
1151,234,990
1152,235,969
1153,235,970
1154,235,971
1155,235,989
1156,236,968
1157,236,970
1158,236,990
1159,237,968
1160,237,969
1161,237,971
1162,237,989
1163,237,990
1164,237,991
1165,238,969
1166,238,971
1167,238,989
1168,238,991
1169,239,970
1170,239,989
1171,239,990
1172,240,970
1173,240,972
1174,240,989
1175,240,991
1176,241,969
1177,241,970
1178,241,972
1179,242,971
1180,242,990
1181,243,970
1182,243,971
1183,243,972
1184,244,970
1185,245,971
1186,246,970
1187,246,971
1188,246,990
1189,247,969
1190,247,970
1191,247,971
1192,247,990
1193,248,970
1194,248,971
1195,248,990
1196,249,990
1197,250,970
1198,251,970
1199,251,971
1200,251,990
1201,252,969
1202,252,971
1203,252,972
1204,252,991
1205,252,992
1206,253,971
1207,253,972
1208,253,989
1209,253,990
1210,253,991
1211,254,972
1212,254,992
1213,255,972
1214,255,973
1215,255,989
1216,255,990
1217,255,991
1218,255,992
1219,256,971
1220,256,991
1221,256,992
1222,257,969
1223,257,970
1224,257,971
1225,257,972
1226,257,973
1227,257,990
1228,257,991
1229,257,992
1230,257,993
1231,258,969
1232,258,970
1233,258,972
1234,258,973
1235,258,991
1236,258,992
1237,259,970
1238,259,971
1239,259,973
1240,259,990
1241,259,991
1242,259,993
1243,260,973
1244,260,992
1245,261,969
1246,261,970
1247,261,971
1248,261,992
1249,262,991
1250,262,992
1251,262,993
1252,263,970
1253,263,971
1254,263,991
1255,263,992
1256,264,970
1257,264,991
1258,265,971
1259,265,972
1260,265,990
1261,266,970
1262,266,973
1263,266,991
1264,266,992
1265,267,970
1266,267,971
1267,267,973
1268,267,991
1269,267,992
1270,267,993
1271,268,969
1272,268,972
1273,268,993
1274,269,971
1275,269,973
1276,269,992
1277,269,993
1278,270,970
1279,270,972
1280,270,990
1281,270,991
1282,270,993
1283,270,994
1284,271,970
1285,271,972
1286,271,973
1287,271,992
1288,271,994
1289,272,970
1290,272,971
1291,272,972
1292,272,992
1293,272,994
1294,273,969
1295,273,973
1296,274,970
1297,274,972
1298,274,973
1299,274,992
1300,274,993
1301,275,971
1302,275,972
1303,275,992
1304,276,993
1305,276,994
1306,277,971
1307,278,970
1308,278,971
1309,278,972
1310,279,971
1311,279,972
1312,280,971
1313,280,972
1314,280,993
1315,281,971
1316,281,973
1317,281,994
1318,282,970
1319,282,971
1320,282,972
1321,282,993
1322,283,970
1323,283,971
1324,283,993
1325,283,994
1326,283,995
1327,284,970
1328,284,972
1329,284,992
1330,284,994
1331,285,970
1332,285,972
1333,285,994
1334,285,995
1335,286,970
1336,286,992
1337,286,993
1338,286,994
1339,286,995
1340,287,970
1341,287,971
1342,287,972
1343,287,973
1344,287,994
1345,288,970
1346,288,971
1347,288,973
1348,288,993
1349,288,994
1350,289,971
1351,289,972
1352,289,973
1353,290,969
1354,290,970
1355,290,972
1356,290,973
1357,291,969
1358,291,970
1359,291,972
1360,292,970
1361,292,971
1362,292,972
1363,293,968
1364,293,969
1365,293,970
1366,293,973
1367,294,969
1368,294,970
1369,294,971
1370,294,972
1371,295,970
1372,295,971
1373,295,973
1374,295,974
1375,296,969
1376,296,971
1377,296,972
1378,296,973
1379,297,969
1380,297,970
1381,297,971
