,xVal,yVal
0,0,967
1,0,969
2,0,971
3,0,973
4,0,974
5,0,1213
6,0,1214
7,0,1217
8,1,967
9,1,968
10,1,970
11,1,973
12,1,974
13,1,975
14,1,976
15,1,1213
16,1,1214
17,1,1216
18,1,1217
19,2,967
20,2,969
21,2,970
22,2,971
23,2,974
24,2,975
25,2,977
26,2,1213
27,2,1215
28,2,1216
29,3,968
30,3,971
31,3,973
32,3,976
33,3,1214
34,3,1215
35,3,1217
36,4,967
37,4,969
38,4,970
39,4,973
40,4,975
41,4,976
42,4,1213
43,4,1215
44,4,1216
45,5,967
46,5,968
47,5,970
48,5,971
49,5,972
50,5,977
51,5,1212
52,5,1213
53,5,1214
54,5,1217
55,5,1218
56,6,968
57,6,969
58,6,971
59,6,974
60,6,975
61,6,976
62,6,1212
63,6,1215
64,6,1217
65,6,1218
66,7,969
67,7,970
68,7,976
69,7,1212
70,7,1213
71,7,1215
72,7,1216
73,7,1217
74,8,968
75,8,969
76,8,970
77,8,971
78,8,972
79,8,973
80,8,974
81,8,975
82,8,976
83,8,977
84,8,1213
85,8,1214
86,8,1215
87,8,1216
88,8,1218
89,9,968
90,9,969
91,9,970
92,9,971
93,9,972
94,9,973
95,9,974
96,9,975
97,9,976
98,9,977
99,9,1212
100,9,1213
101,9,1215
102,9,1216
103,9,1218
104,10,968
105,10,969
106,10,970
107,10,971
108,10,972
109,10,973
110,10,974
111,10,975
112,10,976
113,10,977
114,10,1214
115,10,1215
116,10,1216
117,10,1217
118,10,1218
119,11,967
120,11,968
121,11,969
122,11,970
123,11,971
124,11,972
125,11,973
126,11,974
127,11,975
128,11,976
129,11,977
130,11,1213
131,11,1215
132,11,1216
133,11,1218
134,11,1219
135,12,967
136,12,968
137,12,969
138,12,970
139,12,971
140,12,972
141,12,973
142,12,974
143,12,975
144,12,976
145,12,977
146,12,1213
147,12,1215
148,12,1216
149,12,1217
150,13,968
151,13,969
152,13,970
153,13,971
154,13,972
155,13,973
156,13,974
157,13,975
158,13,976
159,13,977
160,13,1214
161,13,1215
162,13,1218
163,14,968
164,14,969
165,14,970
166,14,971
167,14,972
168,14,973
169,14,974
170,14,975
171,14,976
172,14,977
173,14,1214
174,14,1215
175,14,1216
176,14,1217
177,14,1218
178,15,968
179,15,969
180,15,970
181,15,971
182,15,972
183,15,973
184,15,974
185,15,975
186,15,976
187,15,977
188,15,1215
189,15,1216
190,15,1217
191,15,1218
192,16,968
193,16,969
194,16,970
195,16,972
196,16,973
197,16,975
198,16,977
199,16,1214
200,16,1217
201,16,1218
202,17,968
203,17,969
204,17,970
205,17,973
206,17,974
207,17,975
208,17,976
209,17,977
210,17,1214
211,17,1215
212,17,1216
213,18,967
214,18,970
215,18,971
216,18,972
217,18,973
218,18,976
219,18,977
220,18,978
221,18,1213
222,18,1214
223,18,1215
224,18,1216
225,18,1217
226,18,1218
227,19,968
228,19,970
229,19,972
230,19,975
231,19,977
232,19,1214
233,19,1219
234,20,967
235,20,968
236,20,970
237,20,971
238,20,972
239,20,973
240,20,974
241,20,978
242,20,1213
243,20,1216
244,20,1219
245,21,967
246,21,969
247,21,970
248,21,975
249,21,976
250,21,978
251,21,1213
252,21,1215
253,21,1218
254,22,968
255,22,970
256,22,971
257,22,977
258,22,978
259,22,1213
260,22,1214
261,22,1216
262,22,1217
263,22,1218
264,22,1219
265,23,968
266,23,969
267,23,971
268,23,976
269,23,977
270,23,978
271,23,1213
272,23,1214
273,23,1215
274,23,1216
275,23,1218
276,23,1219
277,24,968
278,24,969
279,24,970
280,24,976
281,24,977
282,24,1213
283,24,1215
284,24,1216
285,24,1217
286,24,1218
287,24,1219
288,25,970
289,25,971
290,25,972
291,25,973
292,25,1214
293,25,1216
294,25,1217
295,25,1218
296,25,1219
297,26,968
298,26,971
299,26,972
300,26,974
301,26,1213
302,26,1215
303,26,1216
304,26,1217
305,26,1218
306,26,1219
307,27,967
308,27,968
309,27,969
310,27,970
311,27,971
312,27,973
313,27,978
314,27,1213
315,27,1214
316,27,1216
317,27,1217
318,27,1218
319,27,1219
320,28,969
321,28,970
322,28,972
323,28,974
324,28,975
325,28,976
326,28,977
327,28,978
328,28,1213
329,28,1215
330,28,1216
331,28,1217
332,28,1218
333,28,1219
334,29,968
335,29,969
336,29,973
337,29,978
338,29,1215
339,29,1216
340,29,1217
341,29,1218
342,29,1219
343,30,968
344,30,970
345,30,973
346,30,974
347,30,975
348,30,976
349,30,977
350,30,978
351,30,1216
352,30,1217
353,30,1218
354,30,1219
355,31,969
356,31,970
357,31,971
358,31,972
359,31,974
360,31,976
361,31,979
362,31,1214
363,31,1215
364,31,1216
365,31,1217
366,31,1218
367,31,1219
368,32,969
369,32,970
370,32,971
371,32,972
372,32,973
373,32,975
374,32,977
375,32,979
376,32,1214
377,32,1215
378,32,1216
379,32,1217
380,32,1218
381,32,1219
382,33,972
383,33,974
384,33,975
385,33,976
386,33,978
387,33,979
388,33,1214
389,33,1215
390,33,1216
391,33,1217
392,33,1218
393,33,1219
394,34,969
395,34,970
